ensembl_gene_id_a	ensembl_gene_id_b	assay_id	screens
ENSG00000146425	ENSG00000173641	1	2,5,6,7
ENSG00000127191	ENSG00000129675	1	1,11
ENSG00000125863	ENSG00000140743	1	2,7
ENSG00000115274	ENSG00000197256	1	11
ENSG00000123700	ENSG00000162512	1	1
ENSG00000143374	ENSG00000147676	1	1
ENSG00000115507	ENSG00000203786	1	1,3,5,6,9,10,11,12
ENSG00000161405	ENSG00000186510	1	3,6,9,10
ENSG00000140743	ENSG00000165630	1	5
ENSG00000087338	ENSG00000221963	1	5,7,9
ENSG00000087338	ENSG00000132109	1	1,2,3,4,6,7,8,9,10,12
ENSG00000186143	ENSG00000197191	1	5,6,9,10,11
ENSG00000197256	ENSG00000243943	1	3,7
ENSG00000117153	ENSG00000196924	1	2,3,4,6,7,8,12
ENSG00000169953	ENSG00000183283	1	10
ENSG00000134480	ENSG00000140262	1	9
ENSG00000140262	ENSG00000198574	1	7
ENSG00000139437	ENSG00000183092	1	10
ENSG00000112578	ENSG00000140382	1	12
ENSG00000127191	ENSG00000185522	1	3,5,9,11
ENSG00000115507	ENSG00000170523	1	1,4,5,7,10,11,12
ENSG00000171222	ENSG00000197279	1	3
ENSG00000167110	ENSG00000180448	1	1,5,6,11
ENSG00000114416	ENSG00000176105	1	1,2,3,6,7,9,10,11,12
ENSG00000149474	ENSG00000197019	1	1,2
ENSG00000127191	ENSG00000176105	1	1,2,3,4,5,7,8,9,11,12
ENSG00000117266	ENSG00000127191	1	1,5
ENSG00000197191	ENSG00000197279	1	10
ENSG00000087338	ENSG00000134207	1	2,6,7,9
ENSG00000114923	ENSG00000127191	1	10,12
ENSG00000115274	ENSG00000152430	1	2,3,4,5,6,7,8,11,12
ENSG00000123143	ENSG00000197191	1	10,11
ENSG00000134207	ENSG00000167110	1	2,3,5,6,7,11
ENSG00000100335	ENSG00000115255	1	10
ENSG00000145945	ENSG00000167110	1	1,2,3,5,6,7,8,9,11,12
ENSG00000087338	ENSG00000132801	1	10
ENSG00000139531	ENSG00000167565	1	2,3,4,5,6,7,8,9,10,11,12
ENSG00000130119	ENSG00000197256	1	7
ENSG00000135547	ENSG00000197191	1	2,3,4,5,6,7,8,10,12
ENSG00000108010	ENSG00000137868	1	12
ENSG00000087338	ENSG00000269699	1	4
ENSG00000115507	ENSG00000119772	1	4,9,10,12
ENSG00000106123	ENSG00000117475	1	7
ENSG00000185962	ENSG00000187180	1	2,4,5,6,7,8,9,10,11,12
ENSG00000117266	ENSG00000167110	1	1,2,3,4,6,7,9,12
ENSG00000166432	ENSG00000197191	1	5,6,8,10,12
ENSG00000058404	ENSG00000204394	1	9,12
ENSG00000141646	ENSG00000166949	1	1,7
ENSG00000126945	ENSG00000153944	1	1,2,4,5,6,7,8,9,10,11,12
ENSG00000120860	ENSG00000197329	1	6,7
ENSG00000089472	ENSG00000108010	1	10
ENSG00000099812	ENSG00000152430	1	12
ENSG00000115718	ENSG00000197191	1	3,7,8
ENSG00000151929	ENSG00000183283	1	1,2,3,4,5,6,7,9,10,12
ENSG00000127191	ENSG00000186510	1	2,8,10,12
ENSG00000115255	ENSG00000139637	1	4,10
ENSG00000167110	ENSG00000173480	1	1,2,3,4,6,7,8,9,10
ENSG00000101935	ENSG00000197191	1	3,8,12
ENSG00000117475	ENSG00000139714	1	4,10
