standard_batch	source	assay	test_orf_ida	test_orf_idb	final_score
Hvs01	RRS	GPCA	13718	5956	11.903631368205778
Hvs01	Lit-BM	GPCA	100	8327	14.617340159017271
Hvs01	Hs01	GPCA	12186	1094	19.642896891034855
Hvs01	RRS	GPCA	56182	70361	12.793076236867435
Hvs01	Lit-BM	GPCA	9124	7157	15.08378618402023
Hvs01	RRS	GPCA	70759	1776	14.308704852120421
Hvs01	RRS	GPCA	621	55599	15.59091305218468
Hvs01	RRS	GPCA	13680	11664	12.584011938072177
Hvs01	RRS	GPCA	642	10585	13.969051499042656
Hvs01	Hs01	GPCA	14023	7357	14.78312690187176
Hvs01	RRS	GPCA	70345	13668	13.42899612552582
Hvs01	Lit-BM	GPCA	53326	100015528	16.605599802233577
Hvs01	Lit-BM	GPCA	164	53687	13.600591190469963
Hvs01	Hs01	GPCA	7428	53737	12.893366619316268
Hvs01	RRS	GPCA	72022	1306	13.269048534671306
Hvs01	RRS	GPCA	5510	54737	15.727323334994498
Hvs01	Lit-BM	GPCA	54455	13777	12.41494187058652
Hvs01	RRS	GPCA	55165	9068	12.411927188335763
