ensembl_gene_id_a	ensembl_gene_id_b	n_publications	n_methods	n_evidences
ENSG00000181690	ENSG00000182481	1	2	2
ENSG00000033800	ENSG00000198924	1	2	2
ENSG00000164692	ENSG00000206075	1	2	2
ENSG00000091831	ENSG00000155846	2	2	2
ENSG00000140464	ENSG00000204209	12	6	13
ENSG00000121774	ENSG00000197122	12	5	13
ENSG00000080824	ENSG00000165416	7	4	8
ENSG00000150991	ENSG00000154277	8	4	9
ENSG00000002822	ENSG00000164109	13	9	15
ENSG00000184203	ENSG00000186298	8	6	9
ENSG00000101412	ENSG00000114126	5	4	6
ENSG00000020633	ENSG00000196781	1	4	4
ENSG00000102974	ENSG00000115677	1	3	3
ENSG00000117650	ENSG00000126001	2	3	3
ENSG00000135636	ENSG00000164309	1	2	2
ENSG00000150991	ENSG00000177606	3	3	3
ENSG00000150991	ENSG00000182866	1	3	3
ENSG00000105991	ENSG00000171867	1	3	3
ENSG00000005844	ENSG00000081237	1	2	2
ENSG00000017427	ENSG00000141753	3	4	5
ENSG00000164054	ENSG00000186153	1	2	2
ENSG00000137414	ENSG00000159363	1	2	2
ENSG00000005844	ENSG00000090339	3	2	3
ENSG00000144802	ENSG00000168610	2	2	3
ENSG00000078043	ENSG00000120149	1	2	2
ENSG00000121022	ENSG00000143556	2	2	4
ENSG00000179010	ENSG00000185787	5	4	6
ENSG00000092820	ENSG00000186575	2	3	3
ENSG00000090989	ENSG00000181404	1	2	2
ENSG00000177479	ENSG00000185651	8	7	11
ENSG00000138100	ENSG00000158022	2	3	3
ENSG00000138639	ENSG00000196924	1	4	4
ENSG00000107186	ENSG00000279486	1	3	3
ENSG00000121022	ENSG00000154277	1	2	2
ENSG00000113580	ENSG00000185651	1	2	2
ENSG00000107186	ENSG00000169499	2	3	3
ENSG00000185019	ENSG00000185651	2	3	3
ENSG00000121022	ENSG00000136810	2	5	5
ENSG00000060069	ENSG00000125651	3	4	4
ENSG00000107186	ENSG00000107679	2	3	4
ENSG00000121022	ENSG00000240972	2	4	5
ENSG00000110395	ENSG00000185651	5	3	5
ENSG00000111907	ENSG00000164924	1	3	3
ENSG00000012048	ENSG00000185651	2	3	4
