ad_orf_id	db_orf_id	final_score	source
7735	55203	0	Lit-BM-HT-17
14543	2370	0	Lit-BM-HT-17
3192	3152	0	Lit-BM-HT-17
10066	100011091	0	Lit-BM-HT-17
56356	55203	0	Lit-BM-HT-17
56119	53625	0	Lit-BM-HT-17
4644	14543	0	Lit-BM-HT-17
5861	14543	0	Lit-BM-HT-17
12010	14543	0	Lit-BM-HT-17
3928	9899	0	Lit-BM-HT-17
11735	55203	0	Lit-BM-HT-17
71385	52973	0	Lit-BM-HT-17
1081	53603	NA	Lit-BM-HT-17
71264	3024	0	Lit-BM-HT-17
11305	12792	0	Lit-BM-HT-17
14543	3859	0	Lit-BM-HT-17
14385	14638	0	Lit-BM-HT-17
305	14543	0	Lit-BM-HT-17
56157	113	0	Lit-BM-HT-17
9751	2666	0	Lit-BM-HT-17
100011233	12381	0	Lit-BM-HT-17
4739	6873	0	Lit-BM-HT-17
55203	422	NA	Lit-BM-HT-17
12668	12668	0	Lit-BM-HT-17
4262	100010602	0	Lit-BM-HT-17
4045	1895	0	Lit-BM-HT-17
1343	100066864	0	Lit-BM-HT-17
7799	71722	0	Lit-BM-HT-17
3585	5107	0	Lit-BM-HT-17
14543	5861	0	Lit-BM-HT-17
478	5743	0	Lit-BM-HT-17
399	2987	0	Lit-BM-HT-17
6578	7076	0	Lit-BM-HT-17
100011238	100066551	0	Lit-BM-HT-17
9698	258	NA	Lit-BM-HT-17
100009819	2486	0	Lit-BM-HT-17
100080599	14543	0	Lit-BM-HT-17
4677	4960	0	Lit-BM-HT-17
55203	3860	NA	Lit-BM-HT-17
5410	4262	0	Lit-BM-HT-17
5348	4131	0	Lit-BM-HT-17
5109	100015531	0	Lit-BM-HT-17
7338	56677	0	Lit-BM-HT-17
10853	1499	0	Lit-BM-HT-17
3380	12017	1	Lit-BM-HT-17
14543	12724	0	Lit-BM-HT-17
258	4015	0	Lit-BM-HT-17
100014292	72165	0	Lit-BM-HT-17
100009829	10117	0	Lit-BM-HT-17
5988	14543	0	Lit-BM-HT-17
55203	7735	0	Lit-BM-HT-17
4007	9707	0	Lit-BM-HT-17
8000	14543	0	Lit-BM-HT-17
3859	14543	0	Lit-BM-HT-17
1050	3192	NA	Lit-BM-HT-17
70262	9751	0	Lit-BM-HT-17
3314	14543	0	Lit-BM-HT-17
14543	71456	0	Lit-BM-HT-17
6935	14755	0	Lit-BM-HT-17
3154	1455	0	Lit-BM-HT-17
13668	4262	0	Lit-BM-HT-17
2870	55203	0	Lit-BM-HT-17
6175	100009829	0	Lit-BM-HT-17
4554	11484	0	Lit-BM-HT-17
55203	56294	0	Lit-BM-HT-17
8065	3039	0	Lit-BM-HT-17
10779	100000459	0	Lit-BM-HT-17
14543	3314	0	Lit-BM-HT-17
442	909	0	Lit-BM-HT-17
58	13195	0	Lit-BM-HT-17
56423	8010	0	Lit-BM-HT-17
4828	5864	0	Lit-BM-HT-17
55699	70593	0	Lit-BM-HT-17
100002314	6935	0	Lit-BM-HT-17
9012	71264	0	Lit-BM-HT-17
2214	4262	0	Lit-BM-HT-17
11747	6432	NA	Lit-BM-HT-17
71264	9012	0	Lit-BM-HT-17
14755	6935	0	Lit-BM-HT-17
6970	11727	0	Lit-BM-HT-17
3290	55203	NA	Lit-BM-HT-17
14543	4702	0	Lit-BM-HT-17
6559	8010	0	Lit-BM-HT-17
3011	304	NA	Lit-BM-HT-17
4757	4757	0	Lit-BM-HT-17
13195	58	0	Lit-BM-HT-17
55203	2741	NA	Lit-BM-HT-17
72165	100014292	0	Lit-BM-HT-17
5219	5066	0	Lit-BM-HT-17
14956	13118	0	Lit-BM-HT-17
10663	24	0	Lit-BM-HT-17
14543	8000	0	Lit-BM-HT-17
399	54902	NA	Lit-BM-HT-17
333	100070284	0	Lit-BM-HT-17
3154	13269	0	Lit-BM-HT-17
9707	4007	NA	Lit-BM-HT-17
100010572	14543	0	Lit-BM-HT-17
100009344	6982	NA	Lit-BM-HT-17
55203	4000	0	Lit-BM-HT-17
71997	4632	0	Lit-BM-HT-17
5061	100010963	NA	Lit-BM-HT-17
258	9698	0	Lit-BM-HT-17
56344	4728	0	Lit-BM-HT-17
9996	14543	0	Lit-BM-HT-17
6523	5864	0	Lit-BM-HT-17
56086	54455	0	Lit-BM-HT-17
2741	55203	0	Lit-BM-HT-17
